round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
Regular season,12,Sun,2014-11-23,15:30,Hamburger SV,2–0,Werder Bremen,57000,Volksparkstadion,Felix Zwayer,/en/matches/bb9aae8e/Hamburger-SV-Werder-Bremen-November-23-2014-Bundesliga,,bb9aae8e
Regular season,12,Sun,2014-11-23,17:30,Stuttgart,0–1,Augsburg,48200,Mercedes-Benz Arena,Thorsten Kinhöfer,/en/matches/25722063/Stuttgart-Augsburg-November-23-2014-Bundesliga,,25722063
Regular season,13,Fri,2014-11-28,20:30,Freiburg,1–4,Stuttgart,24000,Schwarzwald-Stadion,Manuel Gräfe,/en/matches/a2a14401/Freiburg-Stuttgart-November-28-2014-Bundesliga,,a2a14401
Regular season,13,Sat,2014-11-29,15:30,Augsburg,3–1,Hamburger SV,30321,WWK Arena,Jochen Drees,/en/matches/56f726c9/Augsburg-Hamburger-SV-November-29-2014-Bundesliga,,56f726c9
Regular season,13,Sat,2014-11-29,15:30,Hertha BSC,0–1,Bayern Munich,76195,Olympiastadion Berlin,Christian Dingert,/en/matches/8cd1d5e1/Hertha-BSC-Bayern-Munich-November-29-2014-Bundesliga,,8cd1d5e1
Regular season,13,Sat,2014-11-29,18:30,Hoffenheim,4–3,Hannover 96,22716,PreZero Arena,Felix Brych,/en/matches/0912c911/Hoffenheim-Hannover-96-November-29-2014-Bundesliga,,0912c911
Regular season,13,Sat,2014-11-29,15:30,Leverkusen,5–1,Köln,30210,BayArena,Thorsten Kinhöfer,/en/matches/4a5c73f3/Bayer-Leverkusen-Koln-November-29-2014-Bundesliga,,4a5c73f3
Regular season,13,Sat,2014-11-29,15:30,Schalke 04,4–1,Mainz 05,60904,Veltins-Arena,Günter Perl,/en/matches/089df628/Schalke-04-Mainz-05-November-29-2014-Bundesliga,,089df628
Regular season,13,Sat,2014-11-29,15:30,Werder Bremen,4–0,Paderborn 07,41800,Weserstadion,Knut Kircher,/en/matches/e2146bdd/Werder-Bremen-Paderborn-07-November-29-2014-Bundesliga,,e2146bdd
Regular season,13,Sun,2014-11-30,17:30,Eint Frankfurt,2–0,Dortmund,51500,Commerzbank-Arena,Peter Gagelmann,/en/matches/7bdb1a5e/Eintracht-Frankfurt-Dortmund-November-30-2014-Bundesliga,,7bdb1a5e
Regular season,13,Sun,2014-11-30,15:30,Wolfsburg,1–0,M'Gladbach,30000,Volkswagen Arena,Wolfgang Stark,/en/matches/bc5348c3/Wolfsburg-Monchengladbach-November-30-2014-Bundesliga,,bc5348c3
Regular season,14,Fri,2014-12-05,20:30,Dortmund,1–0,Hoffenheim,80000,Signal Iduna Park,Felix Zwayer,/en/matches/a11aaf00/Dortmund-Hoffenheim-December-5-2014-Bundesliga,,a11aaf00
