week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
28,Tue,1992-03-31,,Wattenscheid,3–0,Dresden,,,Edgar Steinborn,/en/matches/69af3e12/Wattenscheid-Dresden-March-31-1992-Bundesliga,,69af3e12
31,Fri,1992-04-03,,Bochum,2–1,MSV Duisburg,,,Hans Fux,/en/matches/9a563ca2/Bochum-MSV-Duisburg-April-3-1992-Bundesliga,,9a563ca2
31,Fri,1992-04-03,,Dresden,2–0,Karlsruher,,,Hellmut Krug,/en/matches/8845b098/Dresden-Karlsruher-April-3-1992-Bundesliga,,8845b098
31,Fri,1992-04-03,,Nürnberg,2–1,Dortmund,,,Hans-Jürgen Kasper,/en/matches/5726ee24/Nurnberg-Dortmund-April-3-1992-Bundesliga,,5726ee24
31,Sat,1992-04-04,,Düsseldorf,0–0,Hansa Rostock,,,Edgar Steinborn,/en/matches/0a8809dc/Dusseldorf-Hansa-Rostock-April-4-1992-Bundesliga,,0a8809dc
31,Sat,1992-04-04,,Eint Frankfurt,1–1,Stuttgart,,,Hans-Peter Dellwing,/en/matches/d612d14a/Eintracht-Frankfurt-Stuttgart-April-4-1992-Bundesliga,,d612d14a
31,Sat,1992-04-04,,Hamburger SV,1–0,M'Gladbach,,,Lutz Michael Fröhlich,/en/matches/791f30c4/Hamburger-SV-Monchengladbach-April-4-1992-Bundesliga,,791f30c4
31,Sat,1992-04-04,,Kaiserslautern,3–2,Wattenscheid,,,Wolf-Günter Wiesel,/en/matches/cf7592d5/Kaiserslautern-Wattenscheid-April-4-1992-Bundesliga,,cf7592d5
31,Sat,1992-04-04,,Köln,1–1,Leverkusen,,,Michael Prengel,/en/matches/1ee7bc9a/Koln-Bayer-Leverkusen-April-4-1992-Bundesliga,,1ee7bc9a
31,Sat,1992-04-04,,S'gart Kickers,2–4,Bayern Munich,,,Hans-Joachim Osmers,/en/matches/dd5230ef/Stuttgarter-Kickers-Bayern-Munich-April-4-1992-Bundesliga,,dd5230ef
31,Sat,1992-04-04,,Schalke 04,0–0,Werder Bremen,,,Manfred Amerell,/en/matches/13f9aa54/Schalke-04-Werder-Bremen-April-4-1992-Bundesliga,,13f9aa54
32,Fri,1992-04-10,,Dortmund,3–0,Bayern Munich,,,Edgar Steinborn,/en/matches/a9acbd54/Der-Klassiker-Dortmund-Bayern-Munich-April-10-1992-Bundesliga,,a9acbd54
32,Fri,1992-04-10,,Düsseldorf,1–3,S'gart Kickers,,,Markus Merk,/en/matches/bf7c4f29/Dusseldorf-Stuttgarter-Kickers-April-10-1992-Bundesliga,,bf7c4f29
32,Fri,1992-04-10,,Hansa Rostock,2–0,Schalke 04,,,Gerhard Theobald,/en/matches/a7bb7b94/Hansa-Rostock-Schalke-04-April-10-1992-Bundesliga,,a7bb7b94
32,Sat,1992-04-11,,Karlsruher,1–1,Bochum,,,Aron Schmidhuber,/en/matches/a8234b0e/Karlsruher-Bochum-April-11-1992-Bundesliga,,a8234b0e
